NUMERO_TRANSACCION,FECHA,HORA,IMPORTE,ESTADO_OPERACION,PAIS_ORIGEN,NOMBRE_ORDENANTE,APELLIDO_ORDENANTE,SEGUNDO_APELLIDO_ORDENANTE,PAIS_DOC_ORDENANTE,NUM_DOC_ORDENANTE,PAIS_NAC_ORDENANTE,FECHA_NAC_ORDENANTE,es_Agente,NOMBRE_BENEFICIARIO,APELLIDO_BENEFICIARIO,SEGUNDO_APELLIDO_BENEFICIARIO,PAIS_DESTINO,ENT_TOW_CIT_RES,ENT_COD_PAR_ENT,ENT_NAT_REF_COD,es_PEP
TXN-HCTS1PHT,01/01/2023,16:50,2248,EXITOSA,España,Amador,Alberdi,Caparrós,Turquía,X4265386J,Nueva Zelandia,19/12/1951,False,Eleuterio,Alberdi,,Turquía,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-QV0GGUEG,01/01/2023,20:37,1596,EXITOSA,España,Cirino,Riera,Adadia,Cuba,Y2149161D,Chile,27/11/1992,False,Teófilo,Riera,Garcés,Cuba,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-20R1JOZ1,01/02/2023,21:15,966,EXITOSA,España,Juan Luis,Feliu,Flores,Pakistán,X3453794E,Sudán del Sur,21/04/1919,False,Nicolasa,Feliu,Romeu,Pakistán,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-ZRKP8GBG,01/02/2023,20:07,632,EXITOSA,España,Margarita,Jaén,Caballero,Honduras,X4177581E,Arabia Saudita,18/04/2000,False,Perlita,Jaén,Serna,Honduras,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-JA82ITVM,01/02/2023,16:47,2494,EXITOSA,España,Alberto,Toledo,Pacheco,Ecuador,X5796125X,Rwanda,18/01/1988,False,Adelardo,Toledo,Andrade,Ecuador,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-A81CZ66D,01/02/2023,16:10,647,EXITOSA,España,Emigdio,Villanueva,Sebastián,Brasil,X8040002F,Eslovenia,07/04/1994,False,Rosaura,Villanueva,Coloma,Brasil,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-RN06CIWX,01/02/2023,10:36,1221,EXITOSA,España,Adelia,Carreras,,República Unida de Tanzanía,Z3068303Q,Ghana,14/01/2009,False,Valero,Carreras,,República Unida de Tanzanía,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-XATKEAHB,01/03/2023,10:39,1522,EXITOSA,España,Andrés,Perez,Monreal,Malta,Z0727395W,Senegal,26/11/2022,False,Daniela,Perez,Coll,Malta,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-50NU3G2R,01/04/2023,09:17,2731,EXITOSA,España,Manu,Prat,Valderrama,Gabón,X4728854P,Georgia,22/08/1953,False,Alfonso,Arce,Linares,Eslovenia,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-2JPRCLCX,01/05/2023,15:31,614,EXITOSA,España,José,Ayllón,Nevado,Colombia,Z5161876Z,Egipto,26/03/1998,False,Joaquín,Ayllón,Trujillo,Colombia,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-3N2LASTW,01/05/2023,12:35,601,EXITOSA,España,Úrsula,Fernandez,Izaguirre,Senegal,X3205334P,España,08/01/1917,False,Fermín,Carreras,,Perú,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-OIO685IS,01/06/2023,19:09,1671,EXITOSA,España,Elisabet,Tamayo,Calvet,Hungría,Y7528117R,Camboya,19/01/1961,False,Julio,Tamayo,Villalobos,Hungría,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-X5UJ3PKC,01/07/2023,01:58,532,EXITOSA,España,Saturnino,Fábregas,Sevilla,Timor-Leste,Y1848480F,Sierra Leona,03/02/1954,False,María Ángeles,Fábregas,,Timor-Leste,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-LOE20K1X,01/07/2023,12:23,2055,EXITOSA,España,Belen,Corominas,Palacios,Camboya,Z7743984G,Italia,04/08/1917,False,Celestina,Corominas,Lledó,Camboya,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-LBEFT2C9,01/08/2023,18:14,319,EXITOSA,España,Lorenzo,Guillen,Calderón,República Federal Democrática de Nepal,Z8069318A,República Dominicana,24/08/1957,False,Martin,Guillen,,República Federal Democrática de Nepal,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-GKSQGY9D,01/08/2023,21:47,1014,EXITOSA,España,Aurelia,Acuña,Bernad,Irlanda,Y8478906Q,Bosnia y Herzegovina,30/12/2022,False,Hilario,Pardo,Asenjo,Irlanda,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-FIU4RFKX,01/09/2023,09:07,1445,EXITOSA,España,Guadalupe,Gutiérrez,Baños,Somalia,Y5888565G,Etiopía,24/02/1945,False,Aura,Gutiérrez,Pozo,Somalia,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-ET96PJEW,01/09/2023,01:06,2583,EXITOSA,España,Adelia,Castro,Carballo,Irlanda,Y9120534J,Bahamas,19/04/1934,False,Evaristo,Castro,Andreu,Irlanda,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-1871PVIH,01/10/2023,20:52,1079,EXITOSA,España,Fabio,Prats,Larrea,Myanmar,Z9183660H,Uganda,20/08/2012,False,Constanza,Prats,Peláez,Myanmar,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-RFIJ2SOG,01/11/2023,14:46,1108,EXITOSA,España,Noa,Moreno,Cuervo,Noruega,Z5093002W,Israel,10/11/1958,False,Felicidad,Moreno,Carreras,Noruega,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-39INSA1A,01/12/2023,15:12,1139,EXITOSA,España,Ani,Carrillo,Sanmartín,Camboya,ZZZ22E55,Hungría,27/04/1942,False,Rosario,Carrillo,,Camboya,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-B5GP72YL,02/01/2023,11:26,1094,CANCELADA,España,Cintia,Gallego,Quero,Haití,Y4109436V,Kazajstán,11/05/1991,False,Reyes,Gallego,Haro,Haití,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-DHGKADHL,02/02/2023,10:56,2139,EXITOSA,España,Guadalupe,Soria,Benavent,Islas Salomón,X4840919V,India,01/09/1960,False,Eligia,Montes,Muñoz,Islas Salomón,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-ZR4QZO0R,02/05/2023,10:36,371,EXITOSA,España,Juliana,Asensio,Ayuso,Omán,Y8375950P,Chipre,29/06/2004,False,Jordi,Asensio,Torrents,Omán,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-4ZXC6MK1,02/07/2023,19:33,1225,EXITOSA,España,Fortunato,Navas,Garay,Congo,X8493853E,Guinea,21/07/1910,False,Albert,Antón,Terrón,Congo,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-FRGCD10B,02/07/2023,21:54,1722,EXITOSA,España,Adelia,Castro,Carballo,Irlanda,Y9120534J,Bahamas,19/04/1934,False,Evaristo,Castro,Andreu,Irlanda,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-8IQKE3F5,02/07/2023,10:49,2388,EXITOSA,España,Úrsula,Fernandez,Izaguirre,Senegal,X3205334P,España,08/01/1917,False,Paca,Almazán,,Kiribati,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-545SSOIL,02/08/2023,10:58,596,EXITOSA,España,Olegario,Rico,Caro,Bolivia,Y5638521Q,Tuvalu,26/11/2020,False,Eusebia,Rico,Gilabert,Bolivia,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-D41D7235,02/09/2023,19:19,881,EXITOSA,España,Encarnación,Seco,Vazquez,Argelia,Y1749997X,Samoa,17/12/1992,False,Desiderio,Seco,Tudela,Argelia,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-EFVPW3SB,02/09/2023,18:09,257,EXITOSA,España,José,Ayllón,Nevado,Colombia,Z5161876Z,Egipto,26/03/1998,False,Joaquín,Ayllón,Trujillo,Colombia,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-ZPY24X3N,02/09/2023,12:21,424,EXITOSA,España,Duilio,Redondo,Codina,Bolivia,Z4051100T,Indonesia,02/02/1981,False,Manuela,Redondo,Bárcena,Bolivia,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-PGSA4PUW,02/11/2023,12:05,2938,EXITOSA,España,Jesús,Anglada,Laguna,Yemen,X3090236W,Bahrein,27/06/1948,False,Hermenegildo,Anglada,Soriano,Yemen,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-4666GWPV,02/11/2023,18:33,1485,CANCELADA,España,Toribio,Barranco,Vallés,Kiribati,Z9151407B,Bahrein,10/11/1917,False,Gema,Barranco,Borrell,Kiribati,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-MZXL8FGB,02/12/2023,14:28,60,EXITOSA,España,Juan Bautista,Simó,Torres,Cuba,X3724539B,Chad,16/02/1930,False,Rosa,Simó,Miguel,Cuba,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-ZN5GS0H4,02/12/2023,15:03,1608,EXITOSA,España,Samuel,Escamilla,Abad,Panamá,Z5380692P,Bangladesh,26/03/2009,False,Ulises,Escamilla,Barragán,Panamá,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-BEL77K52,03/04/2023,09:46,2924,EXITOSA,España,Aitana,Nicolau,Bayón,Tuvalu,X1330196Z,Islandia,13/01/1914,False,Cayetana,Nicolau,Vives,Tuvalu,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-DVKEPRLE,03/04/2023,11:29,2044,EXITOSA,España,Alberto,Toledo,Pacheco,Ecuador,X5796125X,Rwanda,18/01/1988,False,Adelardo,Toledo,Andrade,Ecuador,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-8S55SSXD,03/05/2023,10:32,603,EXITOSA,España,Octavio,Rosales,,Chipre,Z9326552B,Uganda,16/04/1918,False,Cristóbal,Andreu,Cabrero,Mongolia,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-KZHR6Y1M,03/05/2023,15:33,1216,EXITOSA,España,Azahara,Español,Páez,Rwanda,X4730478E,República Dominicana,25/05/1925,False,Juanito,Español,Gaya,Rwanda,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-K4RPR6CJ,03/06/2023,15:37,776,EXITOSA,España,María Pilar,Aguilera,Miguel,Túnez,Z4088537Q,Jamaica,25/11/1980,False,Amador,Aguilera,Quintanilla,Túnez,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-7WZZ319W,03/07/2023,17:13,57,EXITOSA,España,Salomé,Bonilla,Azorin,Swazilandia,X2501157E,Botswana,09/11/1921,False,Matías,Bonilla,,Swazilandia,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-9I684DFL,03/08/2023,09:09,1493,CANCELADA,España,Chuy,Sarmiento,,Bhután,X0988786Q,Jordania,11/12/1941,False,Timoteo,Sarmiento,Barco,Bhután,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-GZSYSMOF,03/08/2023,18:29,243,EXITOSA,España,Julie,Sarmiento,Castell,Mónaco,Z1027154W,Belarús,01/10/1940,False,Maxi,Sarmiento,Gargallo,Mónaco,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-NMBSSIHM,03/09/2023,11:39,1144,EXITOSA,España,Trinidad,Casal,Esparza,Comoras,Z6100575Z,Santa Lucía,12/02/1948,False,Emigdio,Casal,Medina,Comoras,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-44KNTZCB,03/09/2023,17:54,946,EXITOSA,España,Marcelo,Ferrández,Elorza,Mónaco,Z4570170Y,Eslovaquia,06/08/2010,False,Segismundo,Ferrández,Calderón,Mónaco,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-Y2J1DFKY,03/09/2023,18:00,1304,EXITOSA,España,Odalis,Muñoz,Aguado,Estados Unidos de América,Z8316239L,Madagascar,19/05/1991,False,Hugo,Muñoz,Vives,Estados Unidos de América,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-9D27RSLO,03/09/2023,18:33,941,FALLIDA,España,José Manuel,Leon,Chaves,Liberia,Y2424436C,Kirguistán,24/10/1917,False,Dolores,Leon,Arenas,Liberia,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-R747QLQJ,03/09/2023,20:23,2933,EXITOSA,España,Celestino,Viñas,Arnau,Gabón,X5079963E,Estonia,05/12/1934,False,Jose Miguel,Viñas,,Gabón,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-93VKPJQN,03/10/2023,13:28,2432,EXITOSA,España,Teodora,González,Escrivá,Italia,X8719809A,Uzbekistán,17/12/2021,False,Eduardo,González,Mir,Italia,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-KL1J1FU4,03/11/2023,20:04,1617,CANCELADA,España,Teresa,Cifuentes,Camacho,Saint Kitts y Nevis,Z9797720R,India,04/12/1973,False,Maxi,Cifuentes,Costa,Saint Kitts y Nevis,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-I29ME2H5,04/02/2023,17:27,1548,EXITOSA,España,Judith,Barral,Pedraza,Kirguistán,Y8801201N,República Dominicana,24/08/1932,False,Damián,Barral,Sotelo,Kirguistán,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-67USG8OW,04/04/2023,21:50,2987,EXITOSA,España,Crescencia,Osuna,Gallo,Niger,Y5314190P,Kenya,19/08/1920,False,Nazario,Osuna,Ortuño,Niger,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-IHHQJPXD,04/04/2023,20:20,379,EXITOSA,España,Concepción,Vallés,Millán,República Checa,Z7509622N,Portugal,15/10/1965,False,José Antonio,Vallés,Amores,República Checa,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-TN80HPXV,04/04/2023,15:04,2262,EXITOSA,España,Julie,Sarmiento,Castell,Mónaco,Z1027154W,Belarús,01/10/1940,False,Maxi,Sarmiento,Gargallo,Mónaco,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-H6L6EKGY,04/06/2023,10:09,1701,EXITOSA,España,Augusto,Arjona,,República Árabe Siria,X8766363M,Sri Lanka,16/02/1995,False,Vanesa,Arjona,Castrillo,República Árabe Siria,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-4IA2KB7V,04/06/2023,09:27,2960,EXITOSA,España,Jonatan,Morell,Montes,República de Moldova,Z2143331N,Polonia,24/05/1967,False,Andrés,Morell,,República de Moldova,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-8P7X4PU5,04/06/2023,11:45,2704,EXITOSA,España,Eloy,Miguel,Correa,Indonesia,Z7144737E,Canadá,13/10/2011,False,Rosalinda,Miguel,Sebastián,Indonesia,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-RCNRWNRC,04/06/2023,13:44,1082,EXITOSA,España,Nerea,Conde,Feijoo,Malta,Z6711935B,Lesotho,03/10/2012,False,Nando,Conde,Campo,Malta,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-LBACY3GY,04/06/2023,12:33,194,EXITOSA,España,Duilio,Redondo,Codina,Bolivia,Z4051100T,Indonesia,02/02/1981,False,Manuela,Redondo,Bárcena,Bolivia,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-D5MGN6HV,04/07/2023,17:44,773,EXITOSA,España,Alejandro,Bayona,Godoy,República Popular Democrática de Corea,X2604283Q,Brunei Darussalam,03/06/1942,False,Tomás,Bayona,Jover,República Popular Democrática de Corea,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-5EDJSUM4,04/10/2023,20:56,263,EXITOSA,España,Alonso,Ayala,Carbonell,Palau,X6294064E,Argentina,22/09/2020,False,Sebastián,Ayala,Giménez,Palau,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-DT1YP43M,04/10/2023,17:15,533,EXITOSA,España,Albino,Piquer,Cabañas,Papua Nueva Guinea,Y1985358N,Rumania,19/10/1956,False,Saturnino,Piquer,Alemany,Papua Nueva Guinea,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-SWDUJGQH,04/11/2023,09:37,892,EXITOSA,España,Alcides,Asenjo,Morillo,Yemen,X7523834M,Sri Lanka,11/11/1924,False,Martin,Asenjo,Colom,Yemen,Lugo,Sujeto_Obligado12,Agente6505,False
TXN-STOQHWPC,04/12/2023,18:29,1351,EXITOSA,España,Marco,Santos,Santana,Finlandia,Y8259181X,Austria,02/02/1972,False,Tristán,Santos,Priego,Finlandia,Lugo,Sujeto_Obligado12,Agente6505,False
