NUMERO_TRANSACCION,FECHA,HORA,IMPORTE,ESTADO_OPERACION,PAIS_ORIGEN,NOMBRE_ORDENANTE,APELLIDO_ORDENANTE,SEGUNDO_APELLIDO_ORDENANTE,PAIS_DOC_ORDENANTE,NUM_DOC_ORDENANTE,PAIS_NAC_ORDENANTE,FECHA_NAC_ORDENANTE,es_Agente,NOMBRE_BENEFICIARIO,APELLIDO_BENEFICIARIO,SEGUNDO_APELLIDO_BENEFICIARIO,PAIS_DESTINO,ENT_TOW_CIT_RES,ENT_COD_PAR_ENT,ENT_NAT_REF_COD,es_PEP
TXN-4D2ESD3M,01/01/2023,13:12,2768,EXITOSA,España,América,Herrera,Pozuelo,República Árabe Siria,Y0621131F,Lituania,16/05/1950,False,Silvia,Herrera,Giménez,República Árabe Siria,Sant Pere De Ribes,Sujeto_Obligado5,Agente6888,False
TXN-Q03DCHMU,01/01/2023,22:01,2780,EXITOSA,España,Roberta,Montes,,Islas Salomón,X4840919V,India,01/09/1960,False,Eligia,Montes,Muñoz,Islas Salomón,Sant Pere De Ribes,Sujeto_Obligado5,Agente6888,False
TXN-O84A6OOK,01/01/2023,18:55,1300,EXITOSA,España,Teodora,González,Escrivá,Italia,X8719809A,Uzbekistán,17/12/2021,False,Eduardo,González,Mir,Italia,Sant Pere De Ribes,Sujeto_Obligado5,Agente6888,False
TXN-VG11Y38P,01/01/2023,14:36,766,EXITOSA,España,Odalis,Muñoz,Aguado,Estados Unidos de América,Z8316239L,Madagascar,19/05/1991,False,Hugo,Muñoz,Vives,Estados Unidos de América,Sant Pere De Ribes,Sujeto_Obligado5,Agente6888,False
TXN-NYI8LDAD,01/01/2023,17:57,1257,EXITOSA,España,Adrián,Madrigal,,Togo,Y7772907W,Bhután,22/10/1929,False,Damián,Barral,Sotelo,Kirguistán,Sant Pere De Ribes,Sujeto_Obligado5,Agente6888,False
TXN-E9UMFIKD,01/01/2023,11:57,1121,EXITOSA,España,Rocío,Peinado,Ramirez,Maldivas,Z9516726K,Bahrein,24/01/1979,False,Felisa,Peinado,Escolano,Maldivas,Sant Pere De Ribes,Sujeto_Obligado5,Agente6888,False
TXN-964MC4VD,01/01/2023,12:53,1749,EXITOSA,España,Julie,Sarmiento,Castell,Mónaco,Z1027154W,Belarús,01/10/1940,False,Maxi,Sarmiento,Gargallo,Mónaco,Sant Pere De Ribes,Sujeto_Obligado5,Agente6888,False
TXN-7JPSS15B,01/02/2023,13:28,1783,CANCELADA,España,Abraham,Palacio,Colomer,Nueva Zelandia,X9405224H,Kuwait,16/01/1927,False,María Luisa,Palacio,Jerez,Nueva Zelandia,Sant Pere De Ribes,Sujeto_Obligado5,Agente6888,False
TXN-6ALMVEMT,01/02/2023,10:12,1324,EXITOSA,España,Marisa,Pedrosa,Alcalde,Sudán,Z8239900V,Etiopía,17/03/1984,False,Prudencio,Pedrosa,Planas,Sudán,Sant Pere De Ribes,Sujeto_Obligado5,Agente6888,False
TXN-13SK16ZL,01/02/2023,12:29,933,EXITOSA,España,Zaida,Landa,Aguado,Guyana,X3915229P,Bahamas,12/10/1917,False,Montserrat,Landa,Ariño,Guyana,Sant Pere De Ribes,Sujeto_Obligado5,Agente6888,False
TXN-ON18W8IP,01/02/2023,11:59,570,EXITOSA,España,Anastasia,Ropero,,Croacia,X3781092F,Haití,14/10/1976,False,Manuela,Redondo,Bárcena,Bolivia,Sant Pere De Ribes,Sujeto_Obligado5,Agente6888,False
TXN-ZOTMTNOB,01/02/2023,16:08,1733,EXITOSA,España,Osvaldo,Ordóñez,Sanmiguel,Islas Salomón,Y0695954B,República Centroafricana,01/03/1987,False,Arsenio,Ordóñez,Cabello,Islas Salomón,Sant Pere De Ribes,Sujeto_Obligado5,Agente6888,False
TXN-SJEC8P40,01/02/2023,12:04,1905,EXITOSA,España,Germán,Robledo,Carrión,Cuba,Y1319812V,Honduras,21/10/1944,False,Severino,Robledo,Piña,Cuba,Sant Pere De Ribes,Sujeto_Obligado5,Agente6888,False
