NUMERO_TRANSACCION,FECHA,HORA,IMPORTE,ESTADO_OPERACION,PAIS_ORIGEN,NOMBRE_ORDENANTE,APELLIDO_ORDENANTE,SEGUNDO_APELLIDO_ORDENANTE,PAIS_DOC_ORDENANTE,NUM_DOC_ORDENANTE,PAIS_NAC_ORDENANTE,FECHA_NAC_ORDENANTE,es_Agente,NOMBRE_BENEFICIARIO,APELLIDO_BENEFICIARIO,SEGUNDO_APELLIDO_BENEFICIARIO,PAIS_DESTINO,ENT_TOW_CIT_RES,ENT_COD_PAR_ENT,ENT_NAT_REF_COD,es_PEP
TXN-31US56WJ,01/01/2023,12:38,1904,EXITOSA,España,Petrona,Larrea,,República Unida de Tanzanía,Z3068303Q,Ghana,14/01/2009,False,Valero,Carreras,,República Unida de Tanzanía,Valladolid,Sujeto_Obligado12,Agente2264,False
TXN-BJDQV5QJ,01/02/2023,15:51,2584,EXITOSA,España,Sebastián,Granados,,Serbia,X4303137K,Zambia,10/08/1985,False,Dominga,Granados,Andreu,Serbia,Valladolid,Sujeto_Obligado12,Agente2264,False
TXN-TIZQTP5D,01/02/2023,11:00,2857,EXITOSA,España,Elisabet,Ramírez,,Eslovaquia,Y4232262T,Malasia,18/02/1996,False,Lázaro,Ramírez,Real,Eslovaquia,Valladolid,Sujeto_Obligado12,Agente2264,False
TXN-LGIPABKA,01/02/2023,16:24,2004,EXITOSA,España,Teresita,Rovira,,Italia,Y6091153P,Burkina Faso,01/06/1909,False,Édgar,Castells,Portero,Nauru,Valladolid,Sujeto_Obligado12,Agente2264,False
TXN-NT3CONJ0,01/02/2023,12:28,2174,EXITOSA,España,Román,Alcaraz,Bernad,República de Macedonia del Norte,Y0429716K,Belice,21/10/2003,False,Zaida,Alcaraz,Ferreras,República de Macedonia del Norte,Valladolid,Sujeto_Obligado12,Agente2264,False
TXN-WIRES3Q2,01/03/2023,16:43,1865,EXITOSA,España,Noemí,Caro,,Egipto,ZZZ34668,Guinea,07/01/1993,False,Armida,Casares,Elorza,Congo,Valladolid,Sujeto_Obligado12,Agente2264,False
TXN-G72NWOQP,01/03/2023,12:53,1104,EXITOSA,España,Jonatan,Morell,Montes,República de Moldova,Z2143331N,Polonia,24/05/1967,False,Andrés,Morell,,República de Moldova,Valladolid,Sujeto_Obligado12,Agente2264,False
TXN-A3Y43VJF,01/04/2023,20:22,268,EXITOSA,España,Marina,Pardo,Aguirre,Irlanda,Y8478906Q,Bosnia y Herzegovina,30/12/2022,False,Hilario,Pardo,Asenjo,Irlanda,Valladolid,Sujeto_Obligado12,Agente2264,False
TXN-KIULJIIJ,01/04/2023,18:31,1841,EXITOSA,España,Raúl,Ramírez,Requena,Eslovenia,Z8585126J,Chile,16/09/1945,False,Dan,Ramírez,,Eslovenia,Valladolid,Sujeto_Obligado12,Agente2264,False
TXN-CSUEFYHS,01/04/2023,13:12,2367,EXITOSA,España,Albano,Acero,Romero,Venezuela,X4819465E,Eritrea,29/07/1937,False,Noé,Acero,Mascaró,Venezuela,Valladolid,Sujeto_Obligado12,Agente2264,False
