NUMERO_TRANSACCION,FECHA,HORA,IMPORTE,ESTADO_OPERACION,PAIS_ORIGEN,NOMBRE_ORDENANTE,APELLIDO_ORDENANTE,SEGUNDO_APELLIDO_ORDENANTE,PAIS_DOC_ORDENANTE,NUM_DOC_ORDENANTE,PAIS_NAC_ORDENANTE,FECHA_NAC_ORDENANTE,es_Agente,NOMBRE_BENEFICIARIO,APELLIDO_BENEFICIARIO,SEGUNDO_APELLIDO_BENEFICIARIO,PAIS_DESTINO,ENT_TOW_CIT_RES,ENT_COD_PAR_ENT,ENT_NAT_REF_COD,es_PEP
TXN-OV5EM32N,01/01/2023,12:25,1461,EXITOSA,España,Fabricio,Llamas,Huguet,Suiza,X1734718N,Pakistán,05/02/2015,False,Teófilo,Llamas,Bonilla,Suiza,Alcorcon,Sujeto_Obligado4,Agente3064,False
TXN-3I6BOX3F,01/01/2023,20:58,289,EXITOSA,España,Victoriano,Arregui,Ariza,Bulgaria,X5803759P,Federación de Rusia,24/09/1974,False,Prudencio,Arregui,Quevedo,Bulgaria,Alcorcon,Sujeto_Obligado4,Agente3064,False
TXN-KM009LDG,01/01/2023,08:37,1942,CANCELADA,España,Ignacio,Gascón,,Ghana,Z5555714T,Burundi,02/10/1986,False,Emigdio,Gascón,Aparicio,Ghana,Alcorcon,Sujeto_Obligado4,Agente3064,False
TXN-JJVXZRFU,01/02/2023,11:21,2227,EXITOSA,España,Florinda,Romeu,,Gambia,Y4560972V,Albania,15/01/1916,False,Segismundo,Ferrández,Calderón,Mónaco,Alcorcon,Sujeto_Obligado4,Agente3064,False
TXN-0DFS7TYP,01/03/2023,10:09,2532,EXITOSA,España,Pili,Roig,Garriga,Guinea Bissau,X1717463F,Nigeria,10/05/1964,False,Lucho,Roig,Mancebo,Guinea Bissau,Alcorcon,Sujeto_Obligado4,Agente3064,False
TXN-FSP5UWIZ,01/04/2023,17:36,482,EXITOSA,España,Teodora,Tejero,Campo,Tuvalu,X1330196Z,Islandia,13/01/1914,False,Cayetana,Nicolau,Vives,Tuvalu,Alcorcon,Sujeto_Obligado4,Agente3064,False
TXN-ZA1ABEWV,01/04/2023,10:05,875,EXITOSA,España,Encarnacion,Villalobos,Cervera,Guyana,Z4214175M,Palau,13/08/1996,False,Amor,Villalobos,Blasco,Guyana,Alcorcon,Sujeto_Obligado4,Agente3064,False
TXN-IH2LXLS2,01/04/2023,09:51,83,FALLIDA,España,Jordi,Ferrán,Ángel,Turkmenistán,Z3380435S,Brasil,15/01/1914,False,Joel,Ferrán,Arregui,Turkmenistán,Alcorcon,Sujeto_Obligado4,Agente3064,False
TXN-KEU71V7F,01/05/2023,02:37,2977,EXITOSA,España,Victoriano,Arregui,Ariza,Bulgaria,X5803759P,Federación de Rusia,24/09/1974,False,Prudencio,Arregui,Quevedo,Bulgaria,Alcorcon,Sujeto_Obligado4,Agente3064,False
TXN-6R71S08Z,01/05/2023,11:16,2196,EXITOSA,España,Isidro,Ríos,Pascual,Filipinas,X9708573C,Omán,07/10/1961,False,Óscar,Ríos,Villa,Filipinas,Alcorcon,Sujeto_Obligado4,Agente3064,False
TXN-Y81IUWXW,01/07/2023,08:31,822,EXITOSA,España,Marcelo,Ferrández,Elorza,Mónaco,Z4570170Y,Eslovaquia,06/08/2010,False,Segismundo,Ferrández,Calderón,Mónaco,Alcorcon,Sujeto_Obligado4,Agente3064,False
TXN-JRZBPH76,01/08/2023,20:11,1964,EXITOSA,España,Alcides,Asenjo,Morillo,Yemen,X7523834M,Sri Lanka,11/11/1924,False,Martin,Asenjo,Colom,Yemen,Alcorcon,Sujeto_Obligado4,Agente3064,False
TXN-D8QX3LSS,01/09/2023,15:00,2342,EXITOSA,España,Ruth,Torrens,Huerta,Bhután,X0988786Q,Jordania,11/12/1941,False,Timoteo,Sarmiento,Barco,Bhután,Alcorcon,Sujeto_Obligado4,Agente3064,False
