NUMERO_TRANSACCION,FECHA,HORA,IMPORTE,ESTADO_OPERACION,PAIS_ORIGEN,NOMBRE_ORDENANTE,APELLIDO_ORDENANTE,SEGUNDO_APELLIDO_ORDENANTE,PAIS_DOC_ORDENANTE,NUM_DOC_ORDENANTE,PAIS_NAC_ORDENANTE,FECHA_NAC_ORDENANTE,es_Agente,NOMBRE_BENEFICIARIO,APELLIDO_BENEFICIARIO,SEGUNDO_APELLIDO_BENEFICIARIO,PAIS_DESTINO,ENT_TOW_CIT_RES,ENT_COD_PAR_ENT,ENT_NAT_REF_COD,es_PEP
TXN-1D10IVC2,01/01/2023,15:36,672,EXITOSA,España,Severino,Rosales,Miguel,Dominicana,X6084787E,Camerún,24/12/1915,True,Eliana,Rosales,Frutos,Dominicana,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-QS3WIHPF,01/03/2023,09:42,1153,EXITOSA,España,Adelia,Castro,Carballo,Irlanda,Y9120534J,Bahamas,19/04/1934,False,Evaristo,Castro,Andreu,Irlanda,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-S19MGHXW,01/03/2023,10:25,2089,EXITOSA,España,Seve,Amat,Boada,Samoa,Y1016859C,India,26/04/1940,False,Geraldo,Amat,Soriano,Samoa,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-U0QT9Q37,01/03/2023,19:12,1499,EXITOSA,España,César,Gimeno,Pujol,Angola,Z9787302W,Sudán del Sur,30/08/1968,False,José Ángel,Aliaga,Peñas,Cabo Verde,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-98PVZTEW,01/03/2023,19:04,1807,EXITOSA,España,Antonia,Catalá,Salom,República Democrática Popular Lao,X3918088S,Bosnia y Herzegovina,17/02/2013,False,Prudencio,Pedrosa,Planas,Sudán,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-JOZKARQJ,01/04/2023,17:53,2007,EXITOSA,España,Josep,Estevez,Belda,Zambia,Y2076183X,Azerbaiyán,23/10/1968,False,Paulina,Estevez,Benito,Zambia,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-TTXBYART,01/05/2023,10:06,1689,EXITOSA,España,Ileana,Quirós,Azcona,Ecuador,Y3485867R,Tayikistán,01/10/1962,False,Ester,Quirós,Aragón,Ecuador,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-WKOC67U2,01/05/2023,10:05,979,EXITOSA,España,Socorro,Puga,,Uganda,Z3897624A,Irán,14/12/1968,False,Hilario,Puga,Gibert,Uganda,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-UACEA84O,01/05/2023,19:43,51,EXITOSA,España,Pánfilo,Murcia,Fernandez,Mongolia,Z3330197D,República Popular Democrática de Corea,03/02/1911,False,Cristóbal,Andreu,Cabrero,Mongolia,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-5H1XPG0B,01/06/2023,20:12,2734,EXITOSA,España,Jenaro,Perelló,Codina,Vanuatu,Z5709898S,Djibouti,19/01/1973,False,Amador,Perelló,Barberá,Vanuatu,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-P9TB0B3G,01/06/2023,12:21,415,EXITOSA,España,Jesús,Anglada,Laguna,Yemen,X3090236W,Bahrein,27/06/1948,False,Hermenegildo,Anglada,Soriano,Yemen,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-NCP8RQT0,01/06/2023,11:31,2555,EXITOSA,España,Trinidad,Casal,Esparza,Comoras,Z6100575Z,Santa Lucía,12/02/1948,False,Emigdio,Casal,Medina,Comoras,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-C83RSXNY,01/06/2023,16:34,459,EXITOSA,España,Anabel,Delgado,Real,Myanmar,Y6818360R,República Checa,15/05/1928,False,Lidia,Delgado,,Myanmar,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-PXF6CVMO,01/07/2023,09:06,1546,EXITOSA,España,Eutimio,Barriga,Costa,Libia,Y5262287Q,Belarús,30/03/1938,False,Jose Angel,Barriga,Tolosa,Libia,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-BSINHUZM,01/08/2023,09:09,248,EXITOSA,España,Julián,Castells,Haro,Nauru,X7605990M,Tayikistán,11/06/1926,False,Édgar,Castells,Portero,Nauru,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-ZTYD566J,01/08/2023,15:07,146,EXITOSA,España,César,Gimeno,Pujol,Angola,Z9787302W,Sudán del Sur,30/08/1968,False,Rosalinda,Miguel,Sebastián,Indonesia,Albuñol,Sujeto_Obligado13,Agente13807,False
TXN-CZWEX224,01/09/2023,19:06,2333,FALLIDA,España,Judith,Barral,Pedraza,Kirguistán,Y8801201N,República Dominicana,24/08/1932,False,Damián,Barral,Sotelo,Kirguistán,Albuñol,Sujeto_Obligado13,Agente13807,False
