NUMERO_TRANSACCION,FECHA,HORA,IMPORTE,ESTADO_OPERACION,PAIS_ORIGEN,NOMBRE_ORDENANTE,APELLIDO_ORDENANTE,SEGUNDO_APELLIDO_ORDENANTE,PAIS_DOC_ORDENANTE,NUM_DOC_ORDENANTE,PAIS_NAC_ORDENANTE,FECHA_NAC_ORDENANTE,es_Agente,NOMBRE_BENEFICIARIO,APELLIDO_BENEFICIARIO,SEGUNDO_APELLIDO_BENEFICIARIO,PAIS_DESTINO,ENT_TOW_CIT_RES,ENT_COD_PAR_ENT,ENT_NAT_REF_COD,es_PEP
TXN-OIVRU1U2,01/01/2023,02:36,894,FALLIDA,España,Ceferino,Roca,Cózar,Turkmenistán,ZZZ87BFE,Noruega,22/08/1952,False,Juan Luis,Escamilla,,Turkmenistán,Sevilla,Sujeto_Obligado12,Agente1595,False
TXN-ILFNSMX8,01/01/2023,11:35,2900,EXITOSA,España,Isidora,Toledo,Cerdá,Suiza,X1734718N,Pakistán,05/02/2015,False,Teófilo,Llamas,Bonilla,Suiza,Sevilla,Sujeto_Obligado12,Agente1595,False
TXN-PPZVXHB6,01/01/2023,21:45,1273,EXITOSA,España,Albano,Acero,Romero,Venezuela,X4819465E,Eritrea,29/07/1937,False,Noé,Acero,Mascaró,Venezuela,Sevilla,Sujeto_Obligado12,Agente1595,False
TXN-CMASQT0D,01/01/2023,09:27,1134,CANCELADA,España,Noa,Moreno,Cuervo,Noruega,Z5093002W,Israel,10/11/1958,True,Felicidad,Moreno,Carreras,Noruega,Sevilla,Sujeto_Obligado12,Agente1595,False
TXN-LB9A7UFX,01/01/2023,14:21,2912,CANCELADA,España,Clementina,Meléndez,,Bélgica,X5836907J,Libia,17/06/1918,False,Encarna,Meléndez,Ros,Bélgica,Sevilla,Sujeto_Obligado12,Agente1595,False
TXN-4S0W78H0,01/03/2023,18:11,497,EXITOSA,España,Aristides,Ramos,Ródenas,Islas Salomón,X1146452V,Sri Lanka,29/01/1996,False,Eric,Ramos,Paz,Islas Salomón,Sevilla,Sujeto_Obligado12,Agente1595,False
TXN-WBCTDCZH,01/04/2023,21:06,2481,EXITOSA,España,Remigio,Bustos,Ropero,Bolivia,Z4051100T,Indonesia,02/02/1981,False,Manuela,Redondo,Bárcena,Bolivia,Sevilla,Sujeto_Obligado12,Agente1595,False
TXN-B7PDRC5X,01/04/2023,20:45,174,CANCELADA,España,Melania,Solera,Valbuena,Mauritania,Y8793179V,Estados Unidos de América,31/12/2013,False,Vicente,Solera,Roman,Mauritania,Sevilla,Sujeto_Obligado12,Agente1595,False
TXN-J6YU4T01,01/04/2023,20:45,636,EXITOSA,España,Noa,Moreno,Cuervo,Noruega,Z5093002W,Israel,10/11/1958,True,Felicidad,Moreno,Carreras,Noruega,Sevilla,Sujeto_Obligado12,Agente1595,False
TXN-ZSEPDGPX,01/05/2023,20:23,1670,EXITOSA,España,Celso,Huertas,Contreras,Uzbekistán,Y3750340C,Palau,12/05/1978,False,Rosaura,Vaquero,Carrión,Uzbekistán,Sevilla,Sujeto_Obligado12,Agente1595,False
