NUMERO_TRANSACCION,FECHA,HORA,IMPORTE,ESTADO_OPERACION,PAIS_ORIGEN,NOMBRE_ORDENANTE,APELLIDO_ORDENANTE,SEGUNDO_APELLIDO_ORDENANTE,PAIS_DOC_ORDENANTE,NUM_DOC_ORDENANTE,PAIS_NAC_ORDENANTE,FECHA_NAC_ORDENANTE,es_Agente,NOMBRE_BENEFICIARIO,APELLIDO_BENEFICIARIO,SEGUNDO_APELLIDO_BENEFICIARIO,PAIS_DESTINO,ENT_TOW_CIT_RES,ENT_COD_PAR_ENT,ENT_NAT_REF_COD,es_PEP
TXN-O3MTF33W,01/01/2023,21:16,1392,EXITOSA,España,Jesús,Anglada,Laguna,Yemen,X3090236W,Bahrein,27/06/1948,False,Hermenegildo,Anglada,Soriano,Yemen,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-2O7V9PVM,01/01/2023,18:54,2337,EXITOSA,España,Eutimio,Barriga,Costa,Libia,Y5262287Q,Belarús,30/03/1938,False,Jose Angel,Barriga,Tolosa,Libia,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-FHFINF05,01/01/2023,17:31,1303,CANCELADA,España,Cintia,Gallego,Quero,Haití,Y4109436V,Kazajstán,11/05/1991,False,Reyes,Gallego,Haro,Haití,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-XWF30E6Y,01/01/2023,18:56,571,EXITOSA,España,Belen,Corominas,Palacios,Camboya,Z7743984G,Italia,04/08/1917,False,Celestina,Corominas,Lledó,Camboya,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-BR2BRUT1,01/01/2023,09:10,400,EXITOSA,España,Ambrosio,Ocaña,Arnau,Afganistán,X9695800N,Micronesia,23/04/1929,False,Gonzalo,Ocaña,,Afganistán,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-PGJBXAE8,01/02/2023,14:49,2857,EXITOSA,España,Agapito,Torres,Galindo,Angola,Y4075136X,Panamá,26/06/1966,False,Isidora,Torres,Mateos,Angola,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-RAH18KFC,01/02/2023,16:18,2402,EXITOSA,España,Poncio,Vaquero,Castellanos,Uzbekistán,Y3750340C,Palau,12/05/1978,False,Rosaura,Vaquero,Carrión,Uzbekistán,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-OSV4D1HD,01/02/2023,18:05,1264,EXITOSA,España,Jenny,Caparrós,Niño,Canadá,Z5852749J,Luxemburgo,30/12/1965,False,Evelia,Caparrós,Macías,Canadá,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-RWM8ZTG2,01/02/2023,12:32,2796,EXITOSA,España,Marco,Santos,Santana,Finlandia,Y8259181X,Austria,02/02/1972,False,Tristán,Santos,Priego,Finlandia,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-2NDKYY3Q,01/02/2023,09:14,1935,EXITOSA,España,Francisco,Higueras,,Tonga,X9209999V,Islandia,23/10/2019,False,Genoveva,Higueras,Montero,Tonga,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-JGF9735W,01/03/2023,15:53,569,CANCELADA,España,Crescencia,Osuna,Gallo,Niger,Y5314190P,Kenya,19/08/1920,False,Nazario,Osuna,Ortuño,Niger,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-CWKXD4CL,01/03/2023,09:10,113,EXITOSA,España,Virgilio,Valera,,Côte d'Ivoire,Z1534152B,San Marino,12/07/1937,False,Jose Ignacio,Valera,Badía,Côte d'Ivoire,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-N9WIXD2T,01/03/2023,19:00,384,EXITOSA,España,Carina,Salamanca,Aguilar,Guinea Bissau,Y7028126F,Arabia Saudita,10/09/1924,False,Amaya,Salamanca,Parejo,Guinea Bissau,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-F8HW41U1,01/03/2023,20:47,150,EXITOSA,España,Salomé,Bonilla,Azorin,Swazilandia,X2501157E,Botswana,09/11/1921,False,Matías,Bonilla,,Swazilandia,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-W7G07F05,01/04/2023,16:57,1432,EXITOSA,España,José María,Exposito,Bolaños,Burundi,X3684962V,Swazilandia,16/01/2012,False,Ernesto,Exposito,,Burundi,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-K80SP40L,01/04/2023,18:18,1350,EXITOSA,España,Mónica,Leon,,Mónaco,Z4570170Y,Eslovaquia,06/08/2010,False,Segismundo,Ferrández,Calderón,Mónaco,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-UVNTA2RF,01/05/2023,10:03,2121,EXITOSA,España,Judith,Barral,Pedraza,Kirguistán,Y8801201N,República Dominicana,24/08/1932,False,Damián,Barral,Sotelo,Kirguistán,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-BLRMNDB6,01/06/2023,21:02,2948,EXITOSA,España,José María,Badía,Hidalgo,San Marino,Z7310131T,Grecia,05/09/1939,False,Maricela,Badía,,San Marino,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-DYSYLTBX,01/06/2023,05:30,2172,EXITOSA,España,Vera,Alberdi,,Antigua y Barbuda,X7843041H,España,20/08/2009,False,Juan José,Alberdi,Salinas,Antigua y Barbuda,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-E44FH3ZK,01/06/2023,09:31,2050,EXITOSA,España,Tatiana,Varela,Yáñez,Camboya,Z7743984G,Italia,04/08/1917,False,Celestina,Corominas,Lledó,Camboya,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-GJRJW9VS,01/07/2023,10:22,2555,EXITOSA,España,Marcio,Pagès,Mendoza,Angola,X3898191J,Arabia Saudita,02/02/1952,False,Luisa,Pagès,Garmendia,Angola,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-DDDENB9R,01/07/2023,16:59,2357,EXITOSA,España,Octavio,Rosales,,Chipre,Z9326552B,Uganda,16/04/1918,False,Valero,Marin,Puig,Sierra Leona,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-3GOSPN9D,01/07/2023,21:56,2460,EXITOSA,España,Socorro,Montes,Murcia,Malawi,X4246597S,Islas Marshall,08/12/1954,False,Miguel Ángel,Ribes,Bayo,Islas Salomón,Tarragona,Sujeto_Obligado13,Agente13550,False
TXN-109VHVRQ,01/08/2023,11:59,833,EXITOSA,España,Pascual,Costa,Mulet,Madagascar,Z8119270E,Irán,30/09/1970,False,Gaspar,Costa,Cuéllar,Madagascar,Tarragona,Sujeto_Obligado13,Agente13550,False
