NUMERO_TRANSACCION,FECHA,HORA,IMPORTE,ESTADO_OPERACION,PAIS_ORIGEN,NOMBRE_ORDENANTE,APELLIDO_ORDENANTE,SEGUNDO_APELLIDO_ORDENANTE,PAIS_DOC_ORDENANTE,NUM_DOC_ORDENANTE,PAIS_NAC_ORDENANTE,FECHA_NAC_ORDENANTE,es_Agente,NOMBRE_BENEFICIARIO,APELLIDO_BENEFICIARIO,SEGUNDO_APELLIDO_BENEFICIARIO,PAIS_DESTINO,ENT_TOW_CIT_RES,ENT_COD_PAR_ENT,ENT_NAT_REF_COD,es_PEP
TXN-J4Y0DI3W,01/01/2023,09:13,1020,EXITOSA,España,Ani,Villalonga,Barba,Georgia,X4745919F,Suiza,25/07/2006,False,Nicolás,Villalonga,,Georgia,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-Q94DB2Z3,01/01/2023,21:27,2634,EXITOSA,España,Matías,Navarro,Jordán,Argelia,X6795607G,Polonia,23/03/1976,False,Joaquina,Navarro,Villalonga,Argelia,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-AS80562V,01/02/2023,10:34,2398,EXITOSA,España,Severo,Río,Alberto,Uganda,Z8308697K,Brunei Darussalam,26/03/2022,False,Pili,Río,Tomas,Uganda,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-H24MESV7,01/02/2023,18:14,2637,EXITOSA,España,Julián,Castells,Haro,Nauru,X7605990M,Tayikistán,11/06/1926,False,Édgar,Castells,Portero,Nauru,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-BZ5MKVT3,01/02/2023,16:02,2359,EXITOSA,España,Anastasia,Ropero,,Croacia,X3781092F,Haití,14/10/1976,False,Hilario,Puga,Gibert,Uganda,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-3Y89ZQEO,01/03/2023,11:11,61,EXITOSA,España,Saturnino,Roldán,Nogués,Senegal,Z5021907T,Omán,20/10/1918,False,Rocío,Roldán,Diez,Senegal,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-9YMFRGGU,01/04/2023,18:14,494,EXITOSA,España,Desiderio,Blanca,Solsona,Tuvalu,X2114818Z,Gambia,06/12/1957,False,Saturnina,Blanca,Rico,Tuvalu,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-W6S6TN9K,01/04/2023,09:20,805,EXITOSA,España,Blas,Agullo,Guerrero,Tailandia,Y1120491Z,Haití,09/02/2009,False,Isabel,Agullo,Valero,Tailandia,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-0CNF7VUF,01/04/2023,13:56,207,FALLIDA,España,Chuy,Andreu,Cervera,Mongolia,Z3330197D,República Popular Democrática de Corea,03/02/1911,False,Cristóbal,Andreu,Cabrero,Mongolia,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-WBLTLLPX,01/05/2023,10:00,757,EXITOSA,España,Virgilio,Valera,,Côte d'Ivoire,Z1534152B,San Marino,12/07/1937,False,Jose Ignacio,Valera,Badía,Côte d'Ivoire,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-OWEBN400,01/06/2023,15:57,1455,EXITOSA,España,Olegario,Rico,Caro,Bolivia,Y5638521Q,Tuvalu,26/11/2020,False,Eusebia,Rico,Gilabert,Bolivia,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-95AGMOSO,01/06/2023,23:08,1951,EXITOSA,España,Lorenzo,Guillen,Calderón,República Federal Democrática de Nepal,Z8069318A,República Dominicana,24/08/1957,False,Martin,Guillen,,República Federal Democrática de Nepal,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-UYA4SYCL,01/06/2023,12:23,647,EXITOSA,España,Samuel,Escamilla,Abad,Panamá,Z5380692P,Bangladesh,26/03/2009,False,Ulises,Escamilla,Barragán,Panamá,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-K4KYPFII,01/06/2023,15:09,2010,EXITOSA,España,Eladio,Pareja,Bou,México,X9382404Z,Chile,08/12/1999,False,Victoria,Pareja,Ferrer,México,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-UIZ2TYKN,01/07/2023,09:13,1335,EXITOSA,España,Dafne,Uría,Águila,Islas Salomón,X4507074V,Mozambique,10/08/1923,False,Cristian,Uría,Calvet,Islas Salomón,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-BETLODQ5,01/08/2023,09:01,1860,EXITOSA,España,Lorenzo,Guillen,Calderón,República Federal Democrática de Nepal,Z8069318A,República Dominicana,24/08/1957,False,Martin,Guillen,,República Federal Democrática de Nepal,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-OLFF36PF,01/08/2023,18:06,871,EXITOSA,España,Jonatan,Morell,Montes,República de Moldova,Z2143331N,Polonia,24/05/1967,False,Andrés,Morell,,República de Moldova,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-OIZ5XRLV,01/09/2023,12:01,968,EXITOSA,España,Amílcar,Cañas,Gutiérrez,Angola,Y4027992Q,República Unida de Tanzanía,16/05/2011,False,Luisina,Cañas,Llabrés,Angola,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-7SJ17F1T,01/09/2023,17:28,1455,CANCELADA,España,Desiderio,Blanca,Solsona,Tuvalu,X2114818Z,Gambia,06/12/1957,False,Saturnina,Blanca,Rico,Tuvalu,La Eliana,Sujeto_Obligado3,Agente10006,True
TXN-DIUNJT6D,01/10/2023,14:07,329,EXITOSA,España,Duilio,Redondo,Codina,Bolivia,Z4051100T,Indonesia,02/02/1981,False,Manuela,Redondo,Bárcena,Bolivia,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-7Q1RZ6A7,01/10/2023,09:38,1621,EXITOSA,España,Rubén,Hoyos,Cabezas,Mongolia,Z3330197D,República Popular Democrática de Corea,03/02/1911,False,Cristóbal,Andreu,Cabrero,Mongolia,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-4DSM48NG,01/11/2023,19:19,1233,EXITOSA,España,Jordi,Ferrán,Ángel,Turkmenistán,Z3380435S,Brasil,15/01/1914,False,Joel,Ferrán,Arregui,Turkmenistán,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-D4LQJA48,01/11/2023,10:52,1084,EXITOSA,España,Socorro,Puga,,Uganda,Z3897624A,Irán,14/12/1968,False,Hilario,Puga,Gibert,Uganda,La Eliana,Sujeto_Obligado3,Agente10006,False
TXN-HCPMZ89F,01/12/2023,13:34,701,EXITOSA,España,Crescencia,Osuna,Gallo,Niger,Y5314190P,Kenya,19/08/1920,False,Nazario,Osuna,Ortuño,Niger,La Eliana,Sujeto_Obligado3,Agente10006,False
