NUMERO_TRANSACCION,FECHA,HORA,IMPORTE,ESTADO_OPERACION,PAIS_ORIGEN,NOMBRE_ORDENANTE,APELLIDO_ORDENANTE,SEGUNDO_APELLIDO_ORDENANTE,PAIS_DOC_ORDENANTE,NUM_DOC_ORDENANTE,PAIS_NAC_ORDENANTE,FECHA_NAC_ORDENANTE,es_Agente,NOMBRE_BENEFICIARIO,APELLIDO_BENEFICIARIO,SEGUNDO_APELLIDO_BENEFICIARIO,PAIS_DESTINO,ENT_TOW_CIT_RES,ENT_COD_PAR_ENT,ENT_NAT_REF_COD,es_PEP
TXN-VFQEHTB8,01/02/2023,17:56,263,CANCELADA,España,Celestino,Rincón,Lucena,Líbano,Y7546912M,Belarús,19/01/1933,False,Iván,Rincón,Mariscal,Líbano,Valls,Sujeto_Obligado8,Agente2658,False
TXN-J85CAO1O,01/02/2023,15:50,933,EXITOSA,España,Matías,Navarro,Jordán,Argelia,X6795607G,Polonia,23/03/1976,False,Joaquina,Navarro,Villalonga,Argelia,Valls,Sujeto_Obligado8,Agente2658,False
TXN-Z5MO2XSF,01/02/2023,12:55,1344,EXITOSA,España,Crescencia,Osuna,Gallo,Niger,Y5314190P,Kenya,19/08/1920,False,Nazario,Osuna,Ortuño,Niger,Valls,Sujeto_Obligado8,Agente2658,False
TXN-3TZV1U5C,01/02/2023,20:52,57,EXITOSA,España,Agapito,Torres,Galindo,Angola,Y4075136X,Panamá,26/06/1966,False,Isidora,Torres,Mateos,Angola,Valls,Sujeto_Obligado8,Agente2658,False
TXN-BMX6N5NV,01/06/2023,09:14,2092,EXITOSA,España,Ximena,Noriega,Ferrán,Suriname,Y6061137F,Costa Rica,01/03/1940,False,Viviana,Noriega,Vives,Suriname,Valls,Sujeto_Obligado8,Agente2658,False
TXN-OVFVFNX1,01/08/2023,21:44,1418,EXITOSA,España,Concepción,Vallés,Millán,República Checa,Z7509622N,Portugal,15/10/1965,False,José Antonio,Vallés,Amores,República Checa,Valls,Sujeto_Obligado8,Agente2658,False
TXN-WT9HGT0Q,01/12/2023,23:59,1164,EXITOSA,España,Socorro,Montes,Murcia,Malawi,X4246597S,Islas Marshall,08/12/1954,False,Rosa,Simó,Miguel,Cuba,Valls,Sujeto_Obligado8,Agente2658,False
TXN-HDBB2ZCP,01/12/2023,12:21,619,EXITOSA,España,Ciro,Palacios,Cortina,Túnez,Z4088537Q,Jamaica,25/11/1980,False,Amador,Aguilera,Quintanilla,Túnez,Valls,Sujeto_Obligado8,Agente2658,False
TXN-4DTWX8MB,02/01/2023,17:34,211,EXITOSA,España,Vera,Alberdi,,Antigua y Barbuda,X7843041H,España,20/08/2009,False,Juan José,Alberdi,Salinas,Antigua y Barbuda,Valls,Sujeto_Obligado8,Agente2658,False
TXN-UQOMIIY3,02/01/2023,16:54,2307,CANCELADA,España,María Pilar,Aguilera,Miguel,Túnez,Z4088537Q,Jamaica,25/11/1980,False,Amador,Aguilera,Quintanilla,Túnez,Valls,Sujeto_Obligado8,Agente2658,False
