NUMERO_TRANSACCION,FECHA,HORA,IMPORTE,ESTADO_OPERACION,PAIS_ORIGEN,NOMBRE_ORDENANTE,APELLIDO_ORDENANTE,SEGUNDO_APELLIDO_ORDENANTE,PAIS_DOC_ORDENANTE,NUM_DOC_ORDENANTE,PAIS_NAC_ORDENANTE,FECHA_NAC_ORDENANTE,es_Agente,NOMBRE_BENEFICIARIO,APELLIDO_BENEFICIARIO,SEGUNDO_APELLIDO_BENEFICIARIO,PAIS_DESTINO,ENT_TOW_CIT_RES,ENT_COD_PAR_ENT,ENT_NAT_REF_COD,es_PEP
TXN-G8U8DVQG,01/03/2023,13:00,1448,EXITOSA,España,Sebastián,Iglesia,Valdés,Bolivia,Y1690530K,República de Corea,04/02/2012,False,Prudencia,Maldonado,Sevillano,Bolivia,Archena,Sujeto_Obligado10,Agente6866,False
TXN-WVSL0TOL,01/03/2023,16:02,1485,EXITOSA,España,Jordi,Ferrán,Ángel,Turkmenistán,Z3380435S,Brasil,15/01/1914,False,Joel,Ferrán,Arregui,Turkmenistán,Archena,Sujeto_Obligado10,Agente6866,False
TXN-MACNBXAB,01/03/2023,03:16,2078,EXITOSA,España,Bernardo,Lucas,Iborra,República Checa,X4459615F,Tailandia,30/10/1968,False,Josep,Lucas,Beltrán,República Checa,Archena,Sujeto_Obligado10,Agente6866,False
TXN-E7EVFY8A,01/03/2023,14:55,228,EXITOSA,España,Teresa,Cifuentes,Camacho,Saint Kitts y Nevis,Z9797720R,India,04/12/1973,False,Maxi,Cifuentes,Costa,Saint Kitts y Nevis,Archena,Sujeto_Obligado10,Agente6866,False
TXN-Q09684XB,01/03/2023,20:37,450,EXITOSA,España,Arcelia,Tirado,Belda,Nigeria,X4663900Y,Kiribati,22/10/1977,False,Adriana,Tirado,Pinto,Nigeria,Archena,Sujeto_Obligado10,Agente6866,False
TXN-TFKVTSYE,01/03/2023,20:52,1138,EXITOSA,España,Rosario,Santamaría,Lladó,Bahamas,X7941699Y,Líbano,21/08/1990,False,Adelardo,Santamaría,,Bahamas,Archena,Sujeto_Obligado10,Agente6866,False
TXN-7E12VFYH,01/04/2023,03:34,1738,EXITOSA,España,Eladio,Pareja,Bou,México,X9382404Z,Chile,08/12/1999,False,Victoria,Pareja,Ferrer,México,Archena,Sujeto_Obligado10,Agente6866,False
TXN-BISXOYKZ,01/04/2023,15:19,308,EXITOSA,España,Gema,Ramón,Río,Luxemburgo,X0330354M,Italia,31/08/1995,False,Paulino,Ramón,Quintero,Luxemburgo,Archena,Sujeto_Obligado10,Agente6866,False
TXN-QSE49CKM,01/04/2023,17:11,809,EXITOSA,España,Julie,Sarmiento,Castell,Mónaco,ZZZDB113,Belarús,01/10/1940,False,Maxi,Sarmiento,Gargallo,Mónaco,Archena,Sujeto_Obligado10,Agente6866,False
TXN-7MERA2XZ,01/04/2023,18:04,2078,EXITOSA,España,Isidro,Ríos,Pascual,Filipinas,X9708573C,Omán,07/10/1961,False,Óscar,Ríos,Villa,Filipinas,Archena,Sujeto_Obligado10,Agente6866,False
