NUMERO_TRANSACCION,FECHA,HORA,IMPORTE,ESTADO_OPERACION,PAIS_ORIGEN,NOMBRE_ORDENANTE,APELLIDO_ORDENANTE,SEGUNDO_APELLIDO_ORDENANTE,PAIS_DOC_ORDENANTE,NUM_DOC_ORDENANTE,PAIS_NAC_ORDENANTE,FECHA_NAC_ORDENANTE,es_Agente,NOMBRE_BENEFICIARIO,APELLIDO_BENEFICIARIO,SEGUNDO_APELLIDO_BENEFICIARIO,PAIS_DESTINO,ENT_TOW_CIT_RES,ENT_COD_PAR_ENT,ENT_NAT_REF_COD,es_PEP
TXN-ZYYG8I34,01/01/2023,21:23,495,EXITOSA,España,Estefanía,Poza,Simó,Islas Salomón,Y1849200Z,Estados Unidos de América,24/11/1971,False,Esther,Poza,Jara,Islas Salomón,San Pedro Alcantara,Sujeto_Obligado6,Agente2566,False
TXN-A6R727CM,01/02/2023,16:07,2934,EXITOSA,España,Remedios,Valverde,Aparicio,China,Y9063487Y,Bangladesh,02/10/1971,False,Vicenta,Valverde,Bas,China,San Pedro Alcantara,Sujeto_Obligado6,Agente2566,False
TXN-8GKQBM7H,01/02/2023,01:26,2171,CANCELADA,España,Leyre,Puig,,San Vicente y las Granadinas,Z8167738Y,Gambia,18/12/1954,False,Caridad,Puig,Pérez,San Vicente y las Granadinas,San Pedro Alcantara,Sujeto_Obligado6,Agente2566,False
TXN-UP6FFZXK,01/02/2023,13:02,620,EXITOSA,España,Jenny,Caparrós,Niño,Canadá,Z5852749J,Luxemburgo,30/12/1965,False,Evelia,Caparrós,Macías,Canadá,San Pedro Alcantara,Sujeto_Obligado6,Agente2566,False
TXN-IH300GWG,01/03/2023,17:29,1638,EXITOSA,España,Belen,Corominas,Palacios,Camboya,Z7743984G,Italia,04/08/1917,False,Celestina,Corominas,Lledó,Camboya,San Pedro Alcantara,Sujeto_Obligado6,Agente2566,False
TXN-554SQ6BT,01/03/2023,16:26,1734,EXITOSA,España,Aroa,Mínguez,Yáñez,Mongolia,Y8214026G,Jamaica,07/02/1996,False,Dani,Garzón,Valentín,Jamaica,San Pedro Alcantara,Sujeto_Obligado6,Agente2566,False
TXN-JUGGTEOQ,01/04/2023,18:08,1667,EXITOSA,España,Aitana,Nicolau,Bayón,Tuvalu,X1330196Z,Islandia,13/01/1914,False,Cayetana,Nicolau,Vives,Tuvalu,San Pedro Alcantara,Sujeto_Obligado6,Agente2566,False
TXN-BGAF2XQB,01/05/2023,13:08,83,EXITOSA,España,Félix,Bermúdez,Giner,Camboya,Z4859632J,República Árabe Siria,09/09/1970,False,Pía,Bermúdez,Flor,Camboya,San Pedro Alcantara,Sujeto_Obligado6,Agente2566,False
TXN-ISJFTN2M,01/05/2023,14:24,610,EXITOSA,España,Paco,Burgos,Sanmartín,Malta,Y5874479V,Yemen,19/09/1950,False,Mauricio,Burgos,Escrivá,Malta,San Pedro Alcantara,Sujeto_Obligado6,Agente2566,False
TXN-ZK5J48LU,01/06/2023,15:15,127,EXITOSA,España,José,Ayllón,Nevado,Colombia,Z5161876Z,Egipto,26/03/1998,False,Joaquín,Ayllón,Trujillo,Colombia,San Pedro Alcantara,Sujeto_Obligado6,Agente2566,False
