NUMERO_TRANSACCION,FECHA,HORA,IMPORTE,ESTADO_OPERACION,PAIS_ORIGEN,NOMBRE_ORDENANTE,APELLIDO_ORDENANTE,SEGUNDO_APELLIDO_ORDENANTE,PAIS_DOC_ORDENANTE,NUM_DOC_ORDENANTE,PAIS_NAC_ORDENANTE,FECHA_NAC_ORDENANTE,es_Agente,NOMBRE_BENEFICIARIO,APELLIDO_BENEFICIARIO,SEGUNDO_APELLIDO_BENEFICIARIO,PAIS_DESTINO,ENT_TOW_CIT_RES,ENT_COD_PAR_ENT,ENT_NAT_REF_COD,es_PEP
TXN-AA4WWW58,01/01/2023,08:29,1502,EXITOSA,España,Encarnación,Seco,Vazquez,Argelia,Y1749997X,Samoa,17/12/1992,False,Desiderio,Seco,Tudela,Argelia,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-FK0LDOZ9,01/01/2023,16:49,1310,CANCELADA,España,César,Gimeno,Pujol,Angola,Z9787302W,Sudán del Sur,30/08/1968,False,Ulises,Escamilla,Barragán,Panamá,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-TD9DBMCR,01/02/2023,14:41,2691,EXITOSA,España,Beatriz,Gámez,,Rwanda,Y4436927B,Federación de Rusia,14/02/1965,False,Jose Manuel,Gámez,Barco,Rwanda,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-ARBGL2JM,01/03/2023,21:24,2219,EXITOSA,España,Aitana,Nicolau,Bayón,Tuvalu,X1330196Z,Islandia,13/01/1914,False,Cayetana,Nicolau,Vives,Tuvalu,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-H79A5II9,01/03/2023,20:43,573,EXITOSA,España,Marcelo,Ferrández,Elorza,Mónaco,Z4570170Y,Eslovaquia,06/08/2010,False,Segismundo,Ferrández,Calderón,Mónaco,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-EMLQR5R8,01/04/2023,14:18,2513,EXITOSA,España,Felisa,Cardona,Diez,Vietman,Z5194129K,Albania,22/05/2007,False,Victor,Cardona,Robles,Vietman,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-9XWVBS01,01/05/2023,14:05,939,EXITOSA,España,Zaida,Landa,Aguado,Guyana,X3915229P,Bahamas,12/10/1917,False,Montserrat,Landa,Ariño,Guyana,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-S84G3U0I,01/05/2023,20:21,1421,FALLIDA,España,Gabriel,Gual,Ocaña,Irlanda,X3384810S,Bélgica,20/08/2023,False,Milagros,Gálvez,Cabrera,Irlanda,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-GHA0TWEW,01/07/2023,11:56,226,FALLIDA,España,Maximino,Pera,Coello,Tayikistán,X1930156L,Barbados,26/02/1932,False,Rodolfo,Pera,Mancebo,Tayikistán,Madrid,Sujeto_Obligado10,Agente2427,True
TXN-HV5SLDEP,01/09/2023,11:58,2401,EXITOSA,España,Goyo,Castañeda,Benavente,Líbano,Z5502387X,Tuvalu,23/01/2025,False,Miguel Ángel,Castañeda,,Líbano,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-XLS7W99D,01/11/2023,19:33,2260,EXITOSA,España,Sol,Torrens,Olmo,Irlanda,X3384810S,Bélgica,20/08/2023,False,Milagros,Gálvez,Cabrera,Irlanda,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-N0OYAQXM,01/11/2023,13:26,1912,EXITOSA,España,Socorro,Montes,Murcia,Malawi,X4246597S,Islas Marshall,08/12/1954,False,Consuelo,Moll,,Estados Unidos de América,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-EP6OAIFR,01/12/2023,10:24,333,EXITOSA,España,Arcelia,Tirado,Belda,Nigeria,X4663900Y,Kiribati,22/10/1977,False,Adriana,Tirado,Pinto,Nigeria,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-HBBQ5MIU,02/03/2023,11:28,1749,FALLIDA,España,Pili,Roig,Garriga,Guinea Bissau,X1717463F,Nigeria,10/05/1964,False,Lucho,Roig,Mancebo,Guinea Bissau,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-LHUE3K80,02/05/2023,10:47,533,CANCELADA,España,Osvaldo,Ordóñez,Sanmiguel,Islas Salomón,Y0695954B,República Centroafricana,01/03/1987,False,Arsenio,Ordóñez,Cabello,Islas Salomón,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-KOWPIPWY,02/05/2023,16:17,2744,CANCELADA,España,José María,Exposito,Bolaños,Burundi,X3684962V,Swazilandia,16/01/2012,False,Ernesto,Exposito,,Burundi,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-IF807M34,02/06/2023,11:24,2237,EXITOSA,España,Germán,Robledo,Carrión,Cuba,Y1319812V,Honduras,21/10/1944,False,Severino,Robledo,Piña,Cuba,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-QD97CZSV,02/07/2023,18:41,2502,EXITOSA,España,Bernarda,Olivares,Tejedor,Emiratos Árabes Unidos,X4064277Q,Sierra Leona,07/12/1974,False,Valentina,Olivares,Chamorro,Emiratos Árabes Unidos,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-PAPBDL8F,02/07/2023,20:42,439,EXITOSA,España,Aitana,Nicolau,Bayón,Tuvalu,X1330196Z,Islandia,13/01/1914,False,Cayetana,Nicolau,Vives,Tuvalu,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-X29VJC4S,02/08/2023,19:09,784,EXITOSA,España,Liliana,Pino,Manzanares,Lituania,X0340805Z,Albania,08/03/2001,False,Ciríaco,Pino,Girón,Lituania,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-Q32C2EUW,02/09/2023,17:52,509,EXITOSA,España,Ani,Villalonga,Barba,Georgia,X4745919F,Suiza,25/07/2006,False,Nicolás,Villalonga,,Georgia,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-5Y36B240,02/10/2023,19:49,2641,EXITOSA,España,Lalo,Ribes,Verdú,Islas Salomón,X3070927J,Andorra,31/07/2021,False,Miguel Ángel,Ribes,Bayo,Islas Salomón,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-LLF46BXR,02/11/2023,15:41,127,EXITOSA,España,Virgilio,Valera,,Côte d'Ivoire,Z1534152B,San Marino,12/07/1937,False,Jose Ignacio,Valera,Badía,Côte d'Ivoire,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-DH6XBKPR,02/11/2023,08:05,2779,EXITOSA,España,Valentín,Santiago,Bermejo,Nueva Zelandia,X9405224H,Kuwait,16/01/1927,False,María Luisa,Palacio,Jerez,Nueva Zelandia,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-SFG0KXVD,03/03/2023,19:29,2076,EXITOSA,España,Ainoa,Robles,Busquets,Eslovenia,Y0961710W,Namibia,01/05/1998,False,Gabriel,Fiol,,Mali,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-FGEDN714,03/07/2023,14:23,58,EXITOSA,España,Albano,Hervia,Macías,Micronesia,Y7378622Y,Cabo Verde,19/09/1912,False,Severino,Hervia,Carbajo,Micronesia,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-XVOBKLJP,03/08/2023,11:08,1645,EXITOSA,España,Coral,Alvarez,Esparza,Trinidad y Tabago,Z2942158A,Maldivas,10/09/1915,False,Imelda,Alvarez,Paredes,Trinidad y Tabago,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-0JNXMVGK,03/08/2023,20:04,2329,EXITOSA,España,Jonatan,Morell,Montes,República de Moldova,Z2143331N,Polonia,24/05/1967,False,Andrés,Morell,,República de Moldova,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-063Y6CNM,03/08/2023,15:02,88,CANCELADA,España,Chuy,Andreu,Cervera,Mongolia,Z3330197D,República Popular Democrática de Corea,03/02/1911,False,Cristóbal,Andreu,Cabrero,Mongolia,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-T9L6P5AE,03/09/2023,16:23,2791,EXITOSA,España,Josep,Estevez,Belda,Zambia,Y2076183X,Azerbaiyán,23/10/1968,False,Paulina,Estevez,Benito,Zambia,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-3MK728MT,03/10/2023,17:17,147,EXITOSA,España,Ignacio,Gascón,,Ghana,Z5555714T,Burundi,02/10/1986,False,Emigdio,Gascón,Aparicio,Ghana,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-ZOX93J4O,03/11/2023,12:36,2759,EXITOSA,España,Germán,Robledo,Carrión,Cuba,Y1319812V,Honduras,21/10/1944,False,Severino,Robledo,Piña,Cuba,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-6ZG9A6UT,03/12/2023,21:26,1888,EXITOSA,España,Nerea,Conde,Feijoo,Malta,Z6711935B,Lesotho,03/10/2012,False,Nando,Conde,Campo,Malta,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-14K459B9,04/01/2023,09:31,2932,EXITOSA,España,Bernardo,Lucas,Iborra,República Checa,X4459615F,Tailandia,30/10/1968,False,Josep,Lucas,Beltrán,República Checa,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-4MJ8N45V,04/01/2023,09:14,190,CANCELADA,España,Encarnacion,Villalobos,Cervera,Guyana,Z4214175M,Palau,13/08/1996,False,Amor,Villalobos,Blasco,Guyana,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-6GWNEGJI,04/02/2023,21:54,724,EXITOSA,España,Julián,Castells,Haro,Nauru,X7605990M,Tayikistán,11/06/1926,False,Édgar,Castells,Portero,Nauru,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-P88THZMI,04/03/2023,03:10,660,EXITOSA,España,María Belén,Gomila,Nebot,Kirguistán,X5759274M,República Árabe Siria,19/01/2024,False,Noemí,Gomila,Español,Kirguistán,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-LBEG24IA,04/04/2023,14:52,1705,EXITOSA,España,Saturnino,Roldán,Nogués,Senegal,Z5021907T,Omán,20/10/1918,False,Rocío,Roldán,Diez,Senegal,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-QF3NBZSC,04/04/2023,23:14,972,EXITOSA,España,Severo,Lobo,Lerma,Indonesia,X1654143Y,Egipto,28/03/1924,False,Florentina,Lobo,Larrea,Indonesia,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-GUGWA7KW,04/04/2023,19:42,2530,EXITOSA,España,Samu,Lucena,Casal,Vanuatu,X8986283E,Fiji,25/06/2022,False,Teresa,Lucena,Miranda,Vanuatu,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-VBFDIRUW,04/06/2023,13:46,1709,EXITOSA,España,Ester,Viña,Arévalo,Samoa,X4345942T,Liberia,22/09/1910,True,Vera,Viña,Gras,Samoa,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-1DCORORB,04/06/2023,12:32,1823,CANCELADA,España,Teodosio,Aranda,Llabrés,Zambia,Z2509497H,Samoa,14/09/1914,False,Daniel,Aranda,Coll,Zambia,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-57XF7OU7,04/07/2023,19:03,1570,EXITOSA,España,Marisa,Pedrosa,Alcalde,Sudán,Z8239900V,Etiopía,17/03/1984,False,Prudencio,Pedrosa,Planas,Sudán,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-6RKZ4I5P,04/07/2023,13:27,1310,EXITOSA,España,Adelia,Castro,Carballo,Irlanda,Y9120534J,Bahamas,19/04/1934,False,Evaristo,Castro,Andreu,Irlanda,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-IQFAJBQ4,04/08/2023,09:54,1221,FALLIDA,España,Melania,Solera,Valbuena,Mauritania,Y8793179V,Estados Unidos de América,31/12/2013,False,Vicente,Solera,Roman,Mauritania,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-GJHNC391,04/09/2023,13:36,1251,EXITOSA,España,José,Ayllón,Nevado,Colombia,Z5161876Z,Egipto,26/03/1998,False,Joaquín,Ayllón,Trujillo,Colombia,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-CR4ZNWUO,04/10/2023,15:53,1055,EXITOSA,España,Jonatan,Morell,Montes,República de Moldova,Z2143331N,Polonia,24/05/1967,False,Andrés,Morell,,República de Moldova,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-F47EU681,04/10/2023,09:05,2455,EXITOSA,España,Andrés,Perez,Monreal,Malta,Z0727395W,Senegal,26/11/2022,False,Daniela,Perez,Coll,Malta,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-QB6L01BD,04/11/2023,17:10,123,CANCELADA,España,Nicanor,Castelló,Roig,Kiribati,Z9151407B,Bahrein,10/11/1917,False,Gema,Barranco,Borrell,Kiribati,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-HSC4YWXJ,04/12/2023,17:11,274,FALLIDA,España,Saturnino,Fábregas,Sevilla,Timor-Leste,Y1848480F,Sierra Leona,03/02/1954,False,María Ángeles,Fábregas,,Timor-Leste,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-CADDH399,04/12/2023,09:54,2140,EXITOSA,España,Liliana,Pino,Manzanares,Lituania,X0340805Z,Albania,08/03/2001,False,Ciríaco,Pino,Girón,Lituania,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-N9DD307C,05/01/2023,18:19,2746,EXITOSA,España,Apolonia,Busquets,Montesinos,Maldivas,Y7447351B,Gabón,07/08/2007,False,Roxana,Busquets,Zurita,Maldivas,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-AHZDM5CS,05/01/2023,16:00,865,EXITOSA,España,Alba,Acero,,Argentina,Z6861467C,Jordania,11/09/1962,False,Alicia,Acero,Castellanos,Argentina,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-GUB4IX0E,05/02/2023,12:11,2990,EXITOSA,España,Amador,Alberdi,Caparrós,Turquía,X4265386J,Nueva Zelandia,19/12/1951,False,Eleuterio,Alberdi,,Turquía,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-48P1H8NI,05/02/2023,14:53,1733,EXITOSA,España,Belen,Corominas,Palacios,Camboya,Z7743984G,Italia,04/08/1917,False,Celestina,Corominas,Lledó,Camboya,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-R430H1V1,05/02/2023,21:54,882,FALLIDA,España,Febe,Osuna,Baena,Belice,Z0643946C,Omán,05/06/2002,False,Chucho,Osuna,,Belice,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-XU225ZGX,05/04/2023,17:37,662,EXITOSA,España,Duilio,Redondo,Codina,Bolivia,Z4051100T,Indonesia,02/02/1981,False,Manuela,Redondo,Bárcena,Bolivia,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-M0MBKXVM,05/04/2023,16:38,2691,EXITOSA,España,César,Gimeno,Pujol,Angola,Z9787302W,Sudán del Sur,30/08/1968,False,Segismundo,Ferrández,Calderón,Mónaco,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-JDMVVNRA,05/05/2023,17:44,708,EXITOSA,España,Olegario,Rico,Caro,Bolivia,Y5638521Q,Tuvalu,26/11/2020,False,Eusebia,Rico,Gilabert,Bolivia,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-BZ1I9S29,05/05/2023,10:03,1452,FALLIDA,España,Virgilio,Valera,,Côte d'Ivoire,Z1534152B,San Marino,12/07/1937,False,Jose Ignacio,Valera,Badía,Côte d'Ivoire,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-T2X2AA4N,05/05/2023,14:44,769,EXITOSA,España,Plácido,Patiño,Giralt,Kirguistán,X0891278M,Alemania,05/08/1978,False,Benjamín,Patiño,Matas,Kirguistán,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-ONEL0AXB,05/06/2023,16:53,1370,EXITOSA,España,Jesús,Campos,,Rwanda,Y4436927B,Federación de Rusia,14/02/1965,False,Jose Manuel,Gámez,Barco,Rwanda,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-PFZTU6L7,05/08/2023,10:32,2451,EXITOSA,España,Andrés,Perez,Monreal,Malta,Z0727395W,Senegal,26/11/2022,False,Daniela,Perez,Coll,Malta,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-FLR0MHGJ,05/08/2023,15:53,1928,EXITOSA,España,Ani,Díez,Gallo,Antigua y Barbuda,Z5297690J,Chad,07/03/1966,False,Fidela,Díez,Romeu,Antigua y Barbuda,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-0WKO47ZM,05/10/2023,18:22,2834,EXITOSA,España,Román,Alcaraz,Bernad,República de Macedonia del Norte,ZZZEA8D5,Belice,21/10/2003,False,Zaida,Alcaraz,Ferreras,República de Macedonia del Norte,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-1O91DKRU,05/10/2023,18:29,2107,EXITOSA,España,Germán,Robledo,Carrión,Cuba,Y1319812V,Honduras,21/10/1944,False,Severino,Robledo,Piña,Cuba,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-3INBTQX3,05/12/2023,15:10,2907,EXITOSA,España,Bernardo,Acedo,Juárez,Barbados,Z8144446J,Reino Unido de Gran Bretaña e Irlanda del Norte,10/02/1995,False,Silvia,Acedo,Sans,Barbados,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-YAM8XCU7,05/12/2023,16:01,1155,EXITOSA,España,Fidela,Roig,Mate,Etiopía,Y7890689R,Guinea,13/01/1947,False,Luisina,Roig,Cerezo,Etiopía,Madrid,Sujeto_Obligado10,Agente2427,False
TXN-C9FZHGHD,06/02/2023,15:40,2950,EXITOSA,España,Plácido,Escamilla,,Canadá,Z5579888R,Zimbabwe,29/11/2021,False,Andrés,Escamilla,,Canadá,Madrid,Sujeto_Obligado10,Agente2427,False
